content,svm_sentiment,bayes_sentiment,df_scores,df_score_senti
老公 给买 礼物 外观 大气 开关机 速度 运行 速度 着 满意 包装 完好 物流 力 ,积极,积极,15.314,积极
运行 速度 快 屏幕 效果 一般 ,积极,积极,2.569,积极
运行 速度 快 不错 ,积极,积极,3.953,积极
京东 服务 好 京东 买手机 电脑 都行 让 失望 电脑 配置 强悍 是 内存 大 存 空间 很大 缓存 大 是 独显 组合 好 散热 好 反应速度快 学习 办公 杠杠 ,积极,积极,16.95,积极
运行 速度 散热 一般 买来 开机 挺快 s 软件 安装 了 变成 s 了 屏幕显示 效果 一般 应用 开 有点 小卡 倒 还好 ,积极,积极,10.607,积极
运行 速度 好 卡 特色 噪音 大 轻薄 程度 一般 ,积极,积极,5.834,积极
运行 速度 运行 流畅 开机 轻薄 程度 电脑 轻 薄 外形 外观 总体 公司 购买 ,积极,积极,11.148,积极
买不到 开机 开 不了 了 送到 维修 站点 说 是 线 接触不良 要换 新线 作为 消费者 觉得 是 联想 品质 出厂 检验 保障 耽搁 了 工作 希望 联想公司 说法 购物 让 失望 京东 老客户 了 是 失望 ,消极,消极,4.611,积极
知道 京东 失望 联想 失望 唯一 网上 买 电子产品 产品 问题 内存条 故障 退换货 折腾 麻烦 不到 屏幕 开始 闪屏 服 了 图 方便 图 个 心 塞 差 评差 评 不会 网上 买 东西 了 ,消极,消极,-3.55,消极
买 到 内置 电池 电脑 轻薄 很 轻 很 喜欢 ,积极,积极,4.166,积极
感觉 行 运行 办公 完全 问题 ,积极,积极,-2.076,消极
运行 速度 屏幕 效果 一般 散热 性能 容易 发热 外形 外观 很 轻薄 ,积极,积极,9.995,积极
运行 速度 快 屏幕 效果 很 清楚 散热 性能 好 外形 外观 有 质感 轻薄 程度 是 轻薄 看 了 买 买 没有 失望 ,积极,积极,16.503,积极
速度 系统 稳定 ,积极,积极,0.49,积极
很 流畅 速度 快 散热 好 听 不到 声音 京东 自营 值得 信赖 ,积极,积极,12.981,积极
屏幕 效果 不错 运行 速度 奥 外形 外观 是 想要 特色 送货 速度 快 快递 员 小哥 很 热情 ,积极,积极,11.304,积极
老公 了 感觉 运行 速度 快 了 屏幕 画面 清晰 了 轻薄 方便 携带 了 ,积极,积极,10.087,积极
运行 速度 是 i5 处理器 配合 固态 硬盘 速度 超乎 想象 屏幕 效果 很 喜欢 ThinkPad 磨砂 屏幕 太阳 反光 好 买 过 t430 很 喜欢 感觉 轻薄 程度 很 薄 很 轻 好 呢 适合 出差 使用 ,积极,积极,20.986,积极
此 用户 未填写 评价 内容 颜色 漂亮 速度 快 好评 不错 满意 ,积极,积极,16.948,积极
公司 买 没用 评价 ,消极,积极,-1.559,消极
散热 性能 好 特色 好 轻薄 程度 轻巧 灵活 ,积极,积极,14.717,积极
使用 了 一段时间 总体 一般 音质 效果 好 软件 运行 速度 没有 想象 快 ,积极,积极,9.384,积极
很 好看 开机 速度 快 ,积极,积极,1.105,积极
外观 不错 轻薄 ,积极,积极,7.238,积极
运行 速度 开机 响应 快 开 有点 夸张 快 普通 硬盘 固态 硬盘 优势 所在 屏幕 效果 清晰 画质 细腻 不愧 是 独立 显卡 散热 性能 没 运行 大 程序 主要 用于 办公 看 散热 好 外形 外观 平整 外观 磨砂 质感 上档次 轻薄 程度 很 平整 好 拿 属于 小巧 型 苹果 超薄 有 区别 ,消极,积极,46.355,积极
发货 速度 超快 外观 漂亮 运行 流畅 ,积极,积极,7.848,积极
运行 速度 快下班 了 屏幕 效果 好 散热 性能 强 外形 外观 漂亮 啊 轻薄 程度 轻薄 羽绒服 特色 还好 还好 哈 ,积极,积极,22.101,积极
电脑 很棒 ,积极,积极,-0.084,消极
大 品牌 性价比 超高 ,积极,积极,5.283,积极
开机 速度 快 机器 垃圾 动不动 死机 任务栏 死机 ,消极,积极,-11.079,消极
花屏 迅速 换 了 货 小 问题 有点 心碎 总得来说 很 满意 ,消极,积极,3.437,积极
运行 速度 速度 行 没 玩游戏 会 卡住 屏幕 效果 屏幕 手机 清晰 散热 性能 玩游戏 够用 感觉 不到 键盘 温度 外形 外观 外形 没 黑色 轻薄 程度 特色 表示 不会 小红帽 ,积极,积极,7.037,积极
运行 速度 速度 散热 性能 散热 不错 轻薄 程度 一般 不算 超薄 不厚 ,积极,积极,11.358,积极
运行 速度 快 ,积极,积极,1.301,积极
买来 天 无法 进入 系统 不能 退 只能 去 要求 换货 ,消极,消极,-3.847,消极
经典 小红点 喜欢 thinkpad 应该 同 品牌 是 不错 开机 后续 来 评论 ,积极,积极,8.496,积极
物流 快 下单 收 这点 满意 电脑 说明 设置 成功 使用 使用 来 评价 ,积极,积极,7.66,积极
买 收到 电脑 适用 办公 可惜 店家 送 鼠标 电脑包 鼠标垫 配件 需要 购买 差 评 ,积极,积极,7.495,积极
刚用 时候 卖家 没有 初始化 帮助 吧 是 办公 打游戏 开机 速度 挺快 清楚 没有 E盘 hellip 用用 吧 ,积极,积极,0.753,积极
帮 老爹 买 后续 评价 ,积极,积极,0.666,积极
朋友 推荐 着 不错 很 喜欢 ,积极,积极,7.451,积极
外形 外观 具体 没 呢 开关机 超 反应速度 具体 看 使用 情况 ,积极,积极,4.498,积极
运行 速度 快 屏幕 效果 不错 散热 性能 外形 外观 可 人 轻薄 程度 较薄 ,积极,积极,12.754,积极
电脑 有 问题 催 了 换 了 客服 态度 好 拖延 办事 发脾气 没人去 帮 解决问题 来 京东 最差 购物 体验 ,消极,消极,2.555,积极
电脑 有 问题 催 了 大 了 电话 换 了 客服 态度 好 拖延 办事 发脾气 没人去 帮 解决问题 来 京东 最差 购物 体验 ,消极,消极,2.277,积极
送货 速度 包装 严实 无 损坏 整体 手感 不算 是 轻薄 外形 外观 方正 正面 金属 感 开机 速度 界面 简洁 清晰 分辨率 高 键盘 按键 灵活 散热 性能 好 配 电脑包 是 个 皮包 意想不到 ,积极,积极,28.811,积极
外观 女生 方面 一般 不太好 差 够用 了 ,积极,积极,2.394,积极
笔记本 挺不错 相信 京东 待 使用 追评 ,积极,积极,9.638,积极
